"1";"@";;"0";"0";"0";"7";NULL
"2";"@1";;NULL;NULL;"0";"7";NULL
"3";"@2";;"0";"0";"0";"7";NULL
"4";"A.D.G. ( Alain Dreux Gaillou ) ( Fournier )";"( Alain )";"1947";"2004";"0";"7";"http://fr.wikipedia.org/wiki/A._D._G."
"5";"ABOUT";"Edmond";"1828";"1885";"0";"7";"http://fr.wikipedia.org/wiki/Edmond_About"
"6";"ADAMS";"Angel";"1902";"1984";"0";"7";"http://www.babelio.com/auteur/Ansel-Adams/226295"
"7";"AICARD";"Jean";"1848";"1921";"0";"7";"http://fr.wikipedia.org/wiki/Jean_Aicard"
"8";"ALIBERT-KOURAGUINE";"Daniel";"0";"0";"0";"7";NULL
"9";"ALLSTON";"Aaron";"1960";"2014";"0";"7";"http://fr.wikipedia.org/wiki/Aaron_Allston"
"10";"VACHSS";"Andrew";"1942";"0";"0";"7";"http://fr.wikipedia.org/wiki/Andrew_Vachss"
"11";"AMERO";"Constant";"1832";"1908";"0";"7";"http://fr.wikipedia.org/wiki/Constant_Am%C3%A9ro"
"12";"ANDERSEN";"Hans Christian";"1805";"1875";"0";"7";"http://fr.wikipedia.org/wiki/Hans_Christian_Andersen"
"13";"ANDERSON";"Kevin J.";"1962";"0";"0";"7";"http://fr.wikipedia.org/wiki/Kevin_J._Anderson"
"14";"ANDERSON";"Poul";"1926";"2001";"0";"7";"http://fr.wikipedia.org/wiki/Poul_Anderson"
"15";"ANDERSON et MOESTA";"Kevin J. et Rebecca";"0";"0";"1";"7";NULL
"16";"ANDREMONT";"Pierre";"0";"0";"0";"7";NULL
"17";"ANDREVON";"Jean-Pierre";"1937";"0";"0";"7";"http://fr.wikipedia.org/wiki/Jean-Pierre_Andrevon"
"18";"ANDREWS";"Virginia C.";"1924";"1986";"0";"7";"http://fr.wikipedia.org/wiki/Virginia_C._Andrews"
"19";"ANGEBERT (BERTRAND)";"Jean-Michel (Michel)";"1944";"0";"0";"7";"http://fr.wikipedia.org/wiki/Michel_Bertrand_%28%C3%A9crivain%29"
"20";"ANTHONY et PORATH";"Mark et Ellen";"0";"0";"1";"7";NULL
"21";"APOLLINAIRE ( APOLLINAIRE DE KOSTROWITZKY )";"Guillaume Albert Vladimir Alexandre";"1880";"1918";"0";"7";"http://fr.wikipedia.org/wiki/Guillaume_Apollinaire"
"22";"ARGAZ";"Andre-Henri";"0";"0";"0";"7";NULL
"23";"ARLESTON et LABROSSE";"Christophe et Thierry";"0";"0";"1";"7";NULL
"24";"ARLESTON et LATIL et LABROSSE";"Christophe et Dominique et Thierry";"0";"0";"1";"7";NULL
"25";"ARLESTON et TARQUIN";"Christophe et Didier";"0";"0";"1";"7";NULL
"26";"ARMAND";"Marie Paul";"1946";"2011";"0";"7";"http://fr.wikipedia.org/wiki/Marie-Paul_Armand"
"27";"ARNAL";"Michel";"0";"0";"0";"7";NULL
"28";"ARNAUD";"Georges-Jean";"1928";"0";"0";"7";"http://fr.wikipedia.org/wiki/Georges-Jean_Arnaud"
"29";"ARNO ( BERNIER )";"Marc ( Jean-Pierre )";"1937";"0";"0";"7";
"30";"ARNSTON";"Harrison";"0";"0";"0";"7";NULL
"31";"ARSAN ( BIBIDH , ROLLET-ANDRIANE )";"Emmanuelle ( Marayat )";"1932";"2005";"0";"7";"http://fr.wikipedia.org/wiki/Emmanuelle_Arsan"
"32";"ARTHAUD";"Florence";"1957";"0";"0";"7";"http://fr.wikipedia.org/wiki/Florence_Arthaud"
"33";"ASIMOV";"Isaac";"1920";"1992";"0";"7";"http://fr.wikipedia.org/wiki/Isaac_Asimov"
"34";"ASIMOV et SILVERBERG";"Isaac et Robert";"0";"0";"1";"7";NULL
